"x1","x2","x3","x4"
4.605170185988092,3.6888794541139363,-6.137913675842311e6,0.0
4.605170185988092,3.6888794541139363,-6.137913675842311e6,0.0
4.605170185988092,3.6888794541139363,-6.137913675842311e6,0.0
4.268122700221419,3.3052223883753333,-1.7025018382385455e6,1.0
4.450142313058593,4.511480389973597,-1.5186131208403092e6,1.0
4.450142313058593,4.511480389973597,-1.5186131208403092e6,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,1.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.7303744068213804,3.3631344889035524,-104337.56532775433,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,1.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6860435008532604,3.097320700517337,-102155.63404717343,0.0
3.6518245630675876,2.9939570322435967,-101456.11342526706,1.0
3.624023437462739,2.7177102261046566,-100272.46087854293,1.0
3.624023437462739,2.7177102261046566,-100272.46087854293,0.0
3.624023437462739,2.7177102261046566,-100272.46087854293,0.0
