"x1","x2"
23.2484,0.0
22.673,0.0
23.2543,0.0
25.4073,0.0
26.0733,0.0
25.7971,0.0
27.0712,0.0
26.3865,0.0
26.588,0.0
27.3036,0.0
26.0589,0.0
24.7547,0.0
25.9271,0.0
26.6845,0.0
25.1851,0.0
26.4181,0.0
24.9559,0.0
25.188,0.0
27.5977,0.0
26.8429,0.0
24.3577,0.0
23.8885,0.0
24.2402,0.0
24.5941,0.0
23.978,0.0
23.6888,0.0
24.3107,0.0
23.8351,0.0
23.9664,0.0
23.7233,0.0
23.6471,0.0
24.4958,0.0
24.1517,0.0
25.9139,0.0
22.97,0.0
23.4547,0.0
23.6935,0.0
23.9469,0.0
23.7653,0.0
24.1096,0.0
24.1785,0.0
25.0908,0.0
27.6529,0.0
26.8272,0.0
24.8117,0.0
24.95,0.0
27.6396,0.0
27.3682,0.0
28.0649,0.0
25.9129,0.0
25.2541,0.0
24.3114,0.0
23.936,0.0
23.4859,0.0
23.6235,0.0
28.0022,0.0
27.4335,0.0
24.079,0.0
23.9473,0.0
25.1015,0.0
23.5744,0.0
24.3777,0.0
25.1038,0.0
23.289,0.0
24.2302,0.0
23.51,0.0
24.5246,0.0
23.6749,0.0
23.8322,0.0
23.538,0.0
22.1533,0.0
22.1755,0.0
22.7216,0.0
22.3366,0.0
23.3786,0.0
22.9432,0.0
22.7497,0.0
23.7183,0.0
23.3128,0.0
23.4958,0.0
24.1341,0.0
25.3272,0.0
23.2713,0.0
24.1752,0.0
24.163,0.0
23.2526,0.0
23.5923,0.0
24.4996,0.0
23.5823,0.0
24.562,0.0
23.1568,0.0
23.2191,0.0
23.5031,0.0
23.0821,0.0
23.038,0.0
23.9159,0.0
24.1044,0.0
24.247,0.0
23.875,0.0
24.1537,0.0
23.4396,0.0
23.7853,0.0
24.6016,0.0
25.6861,0.0
24.5658,0.0
24.7719,0.0
24.7562,0.0
25.6398,0.0
24.1426,0.0
23.5381,0.0
26.2221,0.0
25.3894,0.0
25.2003,0.0
25.3247,0.0
25.9839,0.0
24.8228,0.0
23.6829,0.0
24.3562,0.0
23.637,0.0
23.691,0.0
23.8405,0.0
23.5179,0.0
23.5349,0.0
23.7576,0.0
23.6168,0.0
25.4518,0.0
23.6021,0.0
23.582,0.0
24.1147,0.0
23.8431,0.0
23.8641,0.0
23.3598,0.0
23.9046,0.0
23.5481,0.0
23.817,0.0
23.8579,0.0
23.7277,0.0
24.1431,0.0
24.6279,0.0
25.4821,0.0
24.4785,0.0
24.2452,0.0
24.6747,0.0
26.4956,0.0
24.2539,0.0
24.57,0.0
25.4167,0.0
25.4811,0.0
24.944,0.0
24.7419,0.0
24.4946,0.0
24.2108,0.0
23.9079,0.0
23.9155,0.0
24.6819,0.0
24.1116,0.0
24.3295,0.0
25.1337,0.0
24.1011,0.0
23.988,0.0
24.2296,0.0
24.9674,0.0
24.8845,0.0
24.2981,0.0
24.1688,0.0
24.3523,0.0
24.2968,0.0
24.5509,0.0
23.4675,0.0
24.4027,0.0
24.3754,0.0
24.151,0.0
23.753,0.0
23.8238,0.0
24.7784,0.0
24.7626,0.0
23.9746,0.0
25.5193,0.0
24.625,0.0
24.3025,0.0
24.2759,0.0
23.7047,0.0
23.9765,0.0
23.3044,0.0
23.5674,0.0
23.4828,0.0
24.6369,0.0
25.072,0.0
23.5259,0.0
23.4133,0.0
24.037,0.0
24.2848,0.0
23.7372,0.0
23.3007,0.0
23.3188,0.0
23.8179,0.0
23.6926,0.0
24.4911,0.0
24.552,0.0
24.1463,0.0
24.8546,0.0
24.5566,0.0
24.2924,0.0
23.8373,0.0
23.9254,0.0
23.7823,0.0
23.8142,0.0
23.7948,0.0
24.3657,0.0
23.7195,0.0
23.6226,0.0
23.9138,0.0
23.2171,0.0
24.1563,0.0
27.1951,0.0
23.9271,0.0
23.6013,0.0
24.0425,0.0
24.5956,0.0
23.9441,0.0
24.3901,0.0
24.0765,0.0
24.1125,0.0
23.4643,0.0
22.5552,0.0
22.4594,0.0
22.6305,0.0
23.8103,0.0
23.6592,0.0
23.4587,0.0
23.8905,0.0
23.9571,0.0
23.5054,0.0
24.8694,0.0
23.1522,0.0
25.0191,0.0
23.4646,0.0
23.1931,0.0
24.5413,0.0
23.2822,0.0
23.7441,0.0
23.5266,0.0
28.1154,0.0
24.1507,0.0
23.1104,0.0
26.3951,0.0
23.5968,0.0
24.5006,0.0
23.1458,0.0
22.757,0.0
24.627,0.0
23.8809,0.0
23.424,0.0
24.468,0.0
24.5833,0.0
23.4867,0.0
23.9002,0.0
24.5285,0.0
25.5196,0.0
24.8432,0.0
25.4801,0.0
24.9838,0.0
24.6725,0.0
24.6567,0.0
25.0218,0.0
24.7846,0.0
25.3271,0.0
25.5835,0.0
24.3978,0.0
24.5537,0.0
24.835,0.0
25.0575,0.0
24.8411,0.0
24.7852,0.0
23.6653,0.0
24.3126,0.0
24.027,0.0
24.0339,0.0
24.9895,0.0
24.3924,0.0
23.6621,0.0
24.5598,0.0
24.6079,0.0
25.5895,0.0
26.7526,0.0
24.5816,0.0
24.5572,0.0
24.53,0.0
25.5481,0.0
25.4734,0.0
24.6931,0.0
23.9271,0.0
23.5069,0.0
23.7915,0.0
24.2787,0.0
23.9869,0.0
23.7838,0.0
24.3136,0.0
24.0425,0.0
24.3538,0.0
23.9407,0.0
24.0425,0.0
24.8159,0.0
24.2636,0.0
23.4418,0.0
23.4194,0.0
23.7648,0.0
24.1839,0.0
24.3552,0.0
24.1481,0.0
22.9907,0.0
23.6172,0.0
23.6706,0.0
23.7004,0.0
24.0621,0.0
24.2535,0.0
24.176,0.0
24.1969,0.0
23.9202,0.0
24.4905,0.0
24.2648,0.0
25.0496,0.0
25.8036,0.0
25.2145,0.0
24.4457,0.0
25.0787,0.0
25.1567,0.0
24.8519,0.0
25.1537,0.0
24.9477,0.0
26.3256,0.0
24.6838,0.0
25.6751,0.0
25.3287,0.0
26.1809,0.0
26.3903,0.0
24.0403,0.0
24.3887,0.0
24.0863,0.0
24.2682,0.0
23.8852,0.0
24.0088,0.0
24.2828,0.0
25.0333,0.0
26.068,0.0
24.4209,0.0
27.0812,0.0
24.5007,0.0
24.8233,0.0
25.5892,0.0
25.3633,0.0
24.5243,0.0
24.4191,0.0
24.6723,0.0
24.4126,0.0
23.9928,0.0
24.3941,0.0
24.1389,0.0
24.3598,0.0
25.5919,0.0
26.0966,0.0
24.4092,0.0
23.7643,0.0
24.2361,0.0
24.3896,0.0
24.619,0.0
24.9083,0.0
24.3963,0.0
24.3322,0.0
24.5605,0.0
25.5989,0.0
25.5201,0.0
25.1194,0.0
25.5726,0.0
24.5267,0.0
24.123,0.0
23.9817,0.0
24.2553,0.0
25.1233,0.0
24.2285,0.0
24.6842,0.0
24.5705,0.0
23.894,0.0
24.5969,0.0
24.7016,0.0
24.2895,0.0
24.1343,0.0
27.1082,0.0
24.7807,0.0
24.3891,0.0
24.0447,0.0
24.6831,0.0
23.665,0.0
23.6492,0.0
23.0992,0.0
23.5267,0.0
24.1643,0.0
24.1683,0.0
23.5952,0.0
25.7493,0.0
24.8445,0.0
24.5909,0.0
25.0734,0.0
24.4782,0.0
26.2579,0.0
25.8536,0.0
